model	nDCGRendle2020	HR	Precision	Recall
KPCA_sigmoid@32	0.5832592625106203	0.985264567983925	0.5194909578030811	0.5194909578030811
KPCA_sigmoid@4	0.3989576987772392	0.8442732752846618	0.35874079035498996	0.35874079035498996
KPCA_sigmoid@64	0.6136790536591734	0.9946416610850636	0.5460817146684528	0.5460817146684528
KPCA_sigmoid@8	0.46750026348709045	0.9176155391828533	0.41838580040187534	0.41838580040187534
NN@128	0.6670346066727333	0.999330207635633	0.5973208305425318	0.5973208305425318
NN@16	0.5436266220724879	0.9708640321500335	0.48382451440053587	0.48382451440053587
NN@2	0.3039217577852702	0.7210314802411253	0.27441393168117884	0.27441393168117884
NN@256	0.6746357303625623	0.9989953114534494	0.6043536503683857	0.6043536503683857
NN@32	0.6024171283935336	0.9902880107166778	0.5361687876758205	0.5361687876758205
NN@4	0.4086291689960211	0.8643670462156732	0.3650368385800402	0.3650368385800402
NN@64	0.6431926253297117	0.9969859343603483	0.5755860683188212	0.5755860683188212
NN@8	0.46276501524512204	0.9266577361018085	0.412926992632284	0.412926992632284
TSNE@2	0.045261322165617346	0.16342933690555927	0.047119892833221697	0.047119892833221697
UMAP@128	0.0924179932179214	0.34092431346282653	0.10371734762223712	0.10371734762223712
UMAP@16	0.027727725425802596	0.07937039517749497	0.027494976557267244	0.027494976557267244
UMAP@2	0.01694791721261529	0.05726724715338245	0.0159410582719357	0.0159410582719357
UMAP@256	0.03663705636666973	0.2186872069658406	0.04085733422638982	0.04085733422638982
UMAP@32	0.05365818257999742	0.3215003348961822	0.05686537173476223	0.05686537173476223
UMAP@4	0.006775269039539947	0.03951774949765573	0.006898861352980576	0.006898861352980576
UMAP@64	0.14586882393882372	0.4835900870730074	0.14450770261219023	0.14450770261219023
UMAP@8	0.001805503321222683	0.01172136637642331	0.0019089082384460818	0.0019089082384460818
