model	nDCGRendle2020	HR	Precision	Recall
NN@8	0.19216660851726908	0.47052913596784995	0.08693904889484261	0.23425978438553144
TSNE@2	0.02117137322079017	0.07267247153382451	0.010080375083724044	0.03388129951962166
UMAP@128	0.005964540864757273	0.019089082384460818	0.0028131279303415936	0.006070704040618566
UMAP@16	0.009358597539450715	0.04956463496316142	0.005961152042866712	0.017387954601973718
UMAP@2	0.006364538058922651	0.022103148024112524	0.0029135967849966506	0.0072718479787788025
UMAP@256	0.006710921413687868	0.025452109845947757	0.0033824514400535837	0.008581906310364864
UMAP@32	0.013828479256301896	0.03951774949765573	0.0058941728064300074	0.016462203730967236
UMAP@4	0.007935965594151096	0.03248492967180174	0.004186202277294039	0.010811425170394675
UMAP@64	0.022675517620534588	0.1346282652377763	0.016141995981245813	0.046810247292435755
UMAP@8	0.005995141216915339	0.02042866711319491	0.002980576021433356	0.006400785902123799
