model	nDCGRendle2020	HR	Precision	Recall
KPCA_cosine@4	0.04974830795057052	0.18188405797101448	0.01927536231884058	0.07490338164251208
KPCA_cosine@64	0.0538203163387844	0.186231884057971	0.020434782608695655	0.08018115942028985
KPCA_cosine@8	0.05278829971482155	0.18695652173913044	0.019710144927536234	0.07903381642512076
KPCA_linear@128	0.08366856452825128	0.26159420289855073	0.029347826086956522	0.11496376811594203
KPCA_linear@16	0.08142313514319463	0.26811594202898553	0.029710144927536233	0.1159661835748792
KPCA_linear@2	0.05932544740018688	0.20869565217391303	0.02246376811594203	0.08516908212560385
KPCA_linear@32	0.08231767011286815	0.26811594202898553	0.029492753623188407	0.11592995169082125
KPCA_linear@4	0.07390602922926885	0.24782608695652175	0.02768115942028986	0.1068719806763285
KPCA_linear@64	0.08347068871445021	0.2644927536231884	0.02942028985507246	0.11524154589371981
KPCA_linear@8	0.0759370705369251	0.2528985507246377	0.02789855072463768	0.1079951690821256
KPCA_poly@128	0.08373842628157528	0.2608695652173913	0.029275362318840585	0.11448067632850241
KPCA_poly@16	0.08182981589234484	0.26811594202898553	0.029710144927536233	0.1159661835748792
KPCA_poly@2	0.0596239783121094	0.20942028985507247	0.02246376811594203	0.08528985507246375
KPCA_poly@32	0.08273425917689928	0.2702898550724638	0.029782608695652173	0.11713768115942028
KPCA_poly@4	0.07439558263175806	0.24782608695652175	0.027753623188405796	0.1072342995169082
KPCA_poly@64	0.08327902263664602	0.263768115942029	0.029420289855072466	0.11536231884057971
KPCA_poly@8	0.07570449101929937	0.2543478260869565	0.028043478260869566	0.10835748792270529
KPCA_rbf@128	0.08233499983585844	0.2579710144927536	0.028913043478260875	0.11381642512077295
KPCA_rbf@16	0.08060980340144515	0.26811594202898553	0.029492753623188407	0.11530193236714976
KPCA_rbf@2	0.058502853805589214	0.2072463768115942	0.022246376811594203	0.08432367149758453
KPCA_rbf@32	0.08094413451163723	0.2608695652173913	0.028768115942028986	0.11315217391304346
KPCA_rbf@4	0.07246134813994486	0.24130434782608695	0.02681159420289855	0.10376811594202898
KPCA_rbf@64	0.08189723762072731	0.25869565217391305	0.028768115942028986	0.11270531400966181
KPCA_rbf@8	0.07487431632596447	0.25217391304347825	0.027681159420289852	0.10714975845410629
KPCA_sigmoid@128	0.08346726803983745	0.2608695652173913	0.02920289855072464	0.11435990338164251
KPCA_sigmoid@16	0.08122280667598875	0.2673913043478261	0.02963768115942029	0.11572463768115941
KPCA_sigmoid@2	0.0592733171953477	0.20869565217391303	0.02246376811594203	0.08516908212560385
KPCA_sigmoid@32	0.08156337342237918	0.26521739130434785	0.029130434782608697	0.11478260869565216
KPCA_sigmoid@4	0.07377807036062252	0.2463768115942029	0.02753623188405797	0.1064855072463768
KPCA_sigmoid@64	0.08301040841535869	0.26231884057971017	0.029130434782608697	0.11403381642512075
KPCA_sigmoid@8	0.0758528275081074	0.2528985507246377	0.02789855072463768	0.1079951690821256
NN@128	0.10551028547236654	0.32753623188405795	0.03768115942028986	0.14817632850241547
NN@16	0.10372263342040014	0.33260869565217394	0.03746376811594203	0.14694444444444443
NN@2	0.0875053597775531	0.2818840579710145	0.030869565217391304	0.12003623188405796
NN@32	0.10397848755203833	0.32608695652173914	0.03731884057971015	0.14702898550724636
NN@4	0.09708418447443916	0.31521739130434784	0.035144927536231885	0.13702898550724638
NN@64	0.10685315611811264	0.32971014492753625	0.03775362318840579	0.14914251207729468
NN@8	0.10000476689523653	0.31521739130434784	0.035869565217391305	0.14044685990338163
TSNE@2	0.009412560654289108	0.03188405797101449	0.0036231884057971015	0.01361111111111111
UMAP@128	0.010149028036847457	0.05217391304347826	0.0053623188405797105	0.020495169082125602
UMAP@16	0.01157760243688504	0.04855072463768116	0.0049275362318840586	0.02041062801932367
UMAP@2	0.002899554043069432	0.013043478260869565	0.0014492753623188406	0.005978260869565218
UMAP@32	0.012501649635461166	0.04492753623188406	0.004782608695652175	0.019625603864734296
UMAP@4	0.016739511749989586	0.06521739130434782	0.006956521739130436	0.02716183574879227
