model	nDCGRendle2020	HR	Precision	Recall
KPCA_poly@32	0.42263726296079585	0.9602517389864194	0.3617919841006956	0.3617919841006956
KPCA_poly@4	0.21472297801696286	0.6805233521033455	0.1868830738655184	0.1868830738655184
KPCA_poly@64	0.42220748061601504	0.9630672408082146	0.3619576018549188	0.3619576018549188
KPCA_poly@8	0.3335111553378556	0.8878767803908579	0.2889201722424644	0.2889201722424644
KPCA_rbf@128	0.3959482857273151	0.953461411063266	0.33963232858562437	0.33963232858562437
KPCA_rbf@16	0.3966421707515919	0.9504802914872474	0.34004637297118245	0.34004637297118245
KPCA_rbf@2	0.15393330980670966	0.5011593242795628	0.13842331897979462	0.13842331897979462
KPCA_rbf@256	0.3938328606546192	0.9513083802583637	0.33839019542895	0.33839019542895
KPCA_rbf@32	0.4071038859143316	0.9576018549188473	0.3482278900298112	0.3482278900298112
KPCA_rbf@4	0.20481414999010372	0.6654521364690295	0.17866843325604503	0.17866843325604503
KPCA_rbf@64	0.3998956745375719	0.954786353097052	0.3420006624710169	0.3420006624710169
KPCA_rbf@8	0.319219992460437	0.8786021861543557	0.27659821132825435	0.27659821132825435
KPCA_sigmoid@128	0.40572830403445753	0.9569393839019543	0.3489566081483935	0.3489566081483935
KPCA_sigmoid@16	0.40009593064519977	0.949486584961908	0.3444683670089434	0.3444683670089434
KPCA_sigmoid@2	0.15722652964611872	0.5059622391520371	0.14100695594567736	0.14100695594567736
KPCA_sigmoid@256	0.40274394725972434	0.9549519708512753	0.3472341835044717	0.3472341835044717
KPCA_sigmoid@32	0.4096637978696169	0.9562769128850612	0.35158993044054326	0.35158993044054326
KPCA_sigmoid@4	0.20942993993490192	0.6702550513415038	0.1825438887048692	0.1825438887048692
KPCA_sigmoid@64	0.40901900482272996	0.9569393839019543	0.3511096389532958	0.3511096389532958
KPCA_sigmoid@8	0.32261730971619534	0.8774428618747929	0.28037429612454456	0.28037429612454456
NN@128	0.9575769858023659	1.0	0.9354753229546209	0.9354753229546209
NN@16	0.8752011205874463	1.0	0.8262835375952303	0.8262835375952303
NN@2	0.29883778000698136	0.8133487909903941	0.2653693275919179	0.2653693275919179
NN@256	0.9762337253766517	1.0	0.9632825438887049	0.9632825438887049
NN@32	0.9149434097450327	1.0	0.8766313348790991	0.8766313348790991
NN@4	0.45578017732927684	0.9299436899635641	0.39928784365683995	0.39928784365683995
NN@64	0.9380310380898429	1.0	0.907734349122226	0.907734349122226
NN@8	0.6915333209652414	0.9925472010599536	0.625770122557138	0.625770122557138
TSNE@2	0.010109663699983597	0.07668102020536602	0.010367671414375623	0.010367671414375623
UMAP@128	0.002693459659265317	0.02186154355746936	0.0029314342497515737	0.0029314342497515737
UMAP@16	0.0024090260409734146	0.0182179529645578	0.0031136137793971513	0.0031136137793971513
UMAP@2	0.01144348829057859	0.05995362702881749	0.01058297449486585	0.01058297449486585
UMAP@256	0.0031193554428184983	0.02186154355746936	0.0028486253726399467	0.0028486253726399467
UMAP@32	0.0036573192184720395	0.025505134150380922	0.003030804902285525	0.003030804902285525
UMAP@4	0.009219231888707713	0.04571050016561776	0.008910235177210997	0.008910235177210997
UMAP@64	0.0023059313988323883	0.021530308049022857	0.002633322292149719	0.002633322292149719
UMAP@8	0.007246107359855808	0.03544219940377608	0.007833719774759855	0.007833719774759855
