model	nDCGRendle2020	HR	Precision	Recall
KPCA_sigmoid@8	0.6701837056186629	0.9572463768115942	0.6121014492753624	0.6121014492753624
NN@128	0.9779858866260543	1.0	0.9661594202898552	0.9661594202898552
NN@16	0.8309684231538931	1.0	0.7789855072463768	0.7789855072463768
NN@2	0.5374903098977641	0.9007246376811594	0.4822463768115942	0.4822463768115942
NN@32	0.893924744369675	1.0	0.8531884057971015	0.8531884057971015
NN@4	0.7054223145607038	0.9768115942028985	0.643840579710145	0.643840579710145
NN@64	0.9448057200366128	1.0	0.9184782608695652	0.9184782608695652
NN@8	0.7789338735673943	0.9905797101449275	0.7215942028985507	0.7215942028985507
TSNE@2	0.04290626981944324	0.2108695652173913	0.04347826086956522	0.04347826086956522
UMAP@128	0.1795775821181979	0.7463768115942029	0.19855072463768117	0.19855072463768117
UMAP@16	0.06138482582185464	0.2492753623188406	0.05891304347826088	0.05891304347826088
UMAP@2	0.004465454679775131	0.020289855072463767	0.004130434782608695	0.004130434782608695
UMAP@32	0.004288746778943098	0.020289855072463767	0.0037681159420289855	0.0037681159420289855
UMAP@4	0.22888295418328383	0.808695652173913	0.18927536231884062	0.18927536231884062
UMAP@64	0.08297871155476799	0.5101449275362319	0.07644927536231884	0.07644927536231884
UMAP@8	0.10780244759781209	0.6688405797101449	0.12442028985507247	0.12442028985507247
